Point,Point_name,Time,Average_Temp,Min_Temp,Max_Temp,Daily_precipitation,Average_wind_speed,Average_Humidity
101,Gangwon,4/1/2020,9.3,3.3,17,0.7,2.1,62.8
101,Gangwon,4/2/2020,8.1,1.7,17.2,,1.5,58.9
101,Gangwon,4/3/2020,9.5,-1.2,18.5,,1.9,45
101,Gangwon,4/4/2020,9.8,4.6,15.4,,2.3,35.8
101,Gangwon,4/5/2020,7,-3,15.3,,1.4,35.5
101,Gangwon,4/6/2020,9.4,-1,18.5,,1.5,41
101,Gangwon,4/7/2020,10.8,1.8,18.4,,1.8,48.5
101,Gangwon,4/8/2020,8.7,1.5,15.5,,1.6,41
101,Gangwon,4/9/2020,8.3,-0.9,16.3,,1.4,46.4
101,Gangwon,4/10/2020,10.1,3.4,16.5,,1.3,49.6
101,Gangwon,4/11/2020,10.4,2.9,17,,1.3,53.4
101,Gangwon,4/12/2020,7.2,2.3,11.1,0.3,2,66.9
101,Gangwon,4/13/2020,9.9,1.2,18.4,,2.1,40.5
101,Gangwon,4/14/2020,12,0.5,22.7,,1.6,40.6
101,Gangwon,4/15/2020,13.3,2.8,23.5,,1.5,43.5
101,Gangwon,4/16/2020,15.2,7.3,23.7,,2.3,45.3
101,Gangwon,4/17/2020,10.7,8.5,13.2,9.3,1.3,83.1
101,Gangwon,4/18/2020,13.9,8.4,20.7,0,1.3,64
101,Gangwon,4/19/2020,11.3,8.6,15.6,3.8,1.8,74.8
101,Gangwon,4/20/2020,10.2,8,12.8,0.2,2,72.3
101,Gangwon,4/21/2020,7.9,4.7,11.7,,3.7,38.6
101,Gangwon,4/22/2020,6.7,4.3,9.8,,3.5,39.6
101,Gangwon,4/23/2020,8.4,1.1,15,,2.8,43.6
101,Gangwon,4/24/2020,9.4,-0.3,16.1,,2.5,48.3
101,Gangwon,4/25/2020,12.2,4,19.7,,2.2,56.6
101,Gangwon,4/26/2020,11.7,4.4,18.4,0,1.5,48.4
101,Gangwon,4/27/2020,11.1,3.4,18.4,0.1,1.4,49.4
101,Gangwon,4/28/2020,13,2.6,21.1,,2.1,46
101,Gangwon,4/29/2020,14.7,6.4,22.8,,1.6,50.1
101,Gangwon,4/30/2020,16.2,4.6,24.3,,1.8,56.1
101,Gangwon,5/1/2020,21.2,14.1,28.1,,1.6,66.3
101,Gangwon,5/2/2020,20.5,16.8,23.9,,1.1,77.4
101,Gangwon,5/3/2020,21.5,16.2,27.7,0,1.2,70.9
101,Gangwon,5/4/2020,21.6,16,28.7,,1.9,63.3
101,Gangwon,5/5/2020,17.1,12.6,21.7,,1.7,67.9
101,Gangwon,5/6/2020,18.4,9.5,27.4,,1.6,51.3
101,Gangwon,5/7/2020,18.8,10.7,25.7,,1.5,43.9
101,Gangwon,5/8/2020,19.3,12.5,27.5,5.9,1.5,49.1
101,Gangwon,5/9/2020,14.7,12.6,16.1,36.4,1.7,94.9
101,Gangwon,5/10/2020,16.3,13.8,19.4,,2.5,77.5
101,Gangwon,5/11/2020,17.7,14.2,22.6,0,2.8,50.9
101,Gangwon,5/12/2020,14.1,10.3,18.8,1.5,1.9,70.8
101,Gangwon,5/13/2020,15.7,6.9,23.3,,2.1,51.8
101,Gangwon,5/14/2020,16.9,9.3,24.6,,1,50.3
101,Gangwon,5/15/2020,15.1,14,16.8,13.1,1.7,86.5
101,Gangwon,5/16/2020,18.4,14.8,23.4,0.9,0.9,83.5
101,Gangwon,5/17/2020,21.3,17.1,26.8,,1.3,74.6
101,Gangwon,5/18/2020,19.7,15.9,26.1,26.3,2.3,75.3
