Time,Province,New,Domestic,Overseas inflow,Accumulate
2020-04-01,Busan,3,,,122
2020-04-02,Busan,0,,,122
2020-04-03,Busan,0,,,122
2020-04-04,Busan,0,,,122
2020-04-05,Busan,0,,,122
2020-04-06,Busan,0,,,122
2020-04-07,Busan,1,,,123
2020-04-08,Busan,2,,,125
2020-04-09,Busan,0,0.0,0.0,125
2020-04-10,Busan,1,1.0,0.0,126
2020-04-11,Busan,0,0.0,0.0,126
2020-04-12,Busan,0,0.0,0.0,126
2020-04-13,Busan,0,0.0,0.0,126
2020-04-14,Busan,0,0.0,0.0,126
2020-04-15,Busan,1,0.0,1.0,127
2020-04-16,Busan,3,0.0,3.0,130
2020-04-17,Busan,0,0.0,0.0,130
2020-04-18,Busan,0,0.0,0.0,130
2020-04-19,Busan,0,0.0,0.0,130
2020-04-20,Busan,2,2.0,0.0,132
2020-04-21,Busan,0,0.0,0.0,132
2020-04-22,Busan,2,1.0,1.0,134
2020-04-23,Busan,1,0.0,1.0,135
2020-04-24,Busan,1,0.0,1.0,136
2020-04-25,Busan,0,0.0,0.0,136
2020-04-26,Busan,1,0.0,1.0,137
2020-04-27,Busan,0,0.0,0.0,137
2020-04-28,Busan,0,0.0,0.0,137
2020-04-29,Busan,0,0.0,0.0,137
2020-04-30,Busan,0,0.0,0.0,137
2020-05-01,Busan,0,0.0,0.0,137
2020-05-02,Busan,1,0.0,1.0,138
2020-05-03,Busan,0,0.0,0.0,138
2020-05-04,Busan,0,0.0,0.0,138
2020-05-05,Busan,0,0.0,0.0,138
2020-05-06,Busan,0,0.0,0.0,138
2020-05-07,Busan,0,0.0,0.0,138
2020-05-08,Busan,2,0.0,2.0,140
2020-05-09,Busan,1,1.0,0.0,141
2020-05-10,Busan,0,0.0,0.0,141
2020-05-11,Busan,0,0.0,0.0,141
2020-05-12,Busan,0,0.0,0.0,141
2020-05-13,Busan,3,3.0,0.0,144
2020-05-14,Busan,0,0.0,0.0,144
2020-05-15,Busan,0,0.0,0.0,144
2020-05-16,Busan,0,0.0,0.0,114
2020-05-17,Busan,0,0.0,0.0,144
2020-05-18,Busan,0,0.0,0.0,144
2020-05-19,Busan,0,0.0,0.0,144
2020-05-20,Busan,0,0.0,0.0,144
2020-05-21,Busan,0,0.0,0.0,144
2020-05-22,Busan,0,0.0,0.0,144
2020-05-23,Busan,0,0.0,0.0,144
2020-05-24,Busan,0,0.0,0.0,144
2020-05-25,Busan,0,0.0,0.0,144
2020-05-26,Busan,0,0.0,0.0,144
2020-05-27,Busan,0,0.0,0.0,144
2020-05-28,Busan,1,0.0,1.0,145
2020-05-29,Busan,0,0.0,0.0,145
2020-05-30,Busan,1,1.0,0.0,146
2020-05-31,Busan,1,0.0,1.0,147
2020-06-01,Busan,0,0.0,0.0,147
2020-06-02,Busan,0,0.0,0.0,147
2020-06-03,Busan,0,0.0,0.0,147
2020-06-04,Busan,0,0.0,0.0,147
2020-06-05,Busan,0,0.0,0.0,147
2020-06-06,Busan,0,0.0,0.0,147
2020-06-07,Busan,0,0.0,0.0,147
2020-06-08,Busan,0,0.0,0.0,147
2020-06-09,Busan,0,0.0,0.0,147
2020-06-10,Busan,0,0.0,0.0,147
2020-06-11,Busan,0,0.0,0.0,147
2020-06-12,Busan,0,0.0,0.0,147
2020-06-13,Busan,0,0.0,0.0,147
2020-06-14,Busan,0,0.0,0.0,147
2020-06-15,Busan,0,0.0,0.0,147
2020-06-16,Busan,1,0.0,1.0,148
2020-06-17,Busan,0,0.0,0.0,148
2020-06-18,Busan,0,0.0,0.0,148
2020-06-19,Busan,0,0.0,0.0,148
2020-06-20,Busan,2,0.0,2.0,150
2020-06-21,Busan,0,0.0,0.0,150
2020-06-22,Busan,0,0.0,0.0,150
2020-06-23,Busan,0,0.0,0.0,150
2020-06-24,Busan,2,0.0,2.0,152
2020-06-25,Busan,0,0.0,0.0,152
2020-06-26,Busan,0,0.0,0.0,152
2020-06-27,Busan,0,0.0,0.0,152
2020-06-28,Busan,0,0.0,0.0,152
2020-06-29,Busan,1,1.0,0.0,153
2020-06-30,Busan,1,0.0,1.0,154
2020-07-01,Busan,0,0.0,0.0,154
2020-07-02,Busan,0,0.0,0.0,154
2020-07-03,Busan,0,0.0,0.0,154
2020-07-04,Busan,1,0.0,1.0,155
2020-07-05,Busan,0,0.0,0.0,155
2020-07-06,Busan,1,0.0,1.0,156
2020-07-07,Busan,0,0.0,0.0,156
2020-07-08,Busan,0,0.0,0.0,156
2020-07-09,Busan,0,0.0,0.0,156
2020-07-10,Busan,0,0.0,0.0,156
2020-07-11,Busan,0,0.0,0.0,156
2020-07-12,Busan,0,0.0,0.0,156
2020-07-13,Busan,0,0.0,0.0,156
2020-07-14,Busan,0,0.0,0.0,156
2020-07-15,Busan,0,0.0,0.0,156
2020-07-16,Busan,0,0.0,0.0,156
2020-07-17,Busan,0,0.0,0.0,156
2020-07-18,Busan,1,0.0,1.0,157
2020-07-19,Busan,0,0.0,0.0,157
2020-07-20,Busan,0,0.0,0.0,157
2020-07-21,Busan,0,0.0,0.0,157
2020-07-22,Busan,0,0.0,0.0,157
2020-07-23,Busan,2,0.0,2.0,159
2020-07-24,Busan,2,2.0,0.0,161
2020-07-25,Busan,5,5.0,0.0,166
